time,millis,duty,freq,v_pa,i_pa,v_ba,i_ba,meter_v_pa,meter_i_pa,meter_v_ba,meter_i_ba
1679541228.2014863,1500,0.4,50000.0,20.394897,0.064174,43.388309,0.030759,20.06349,-2.991998,40.16032,1.350664
1679541230.7010267,3000,0.4,50000.0,19.835646,2.793129,40.979637,1.222724,20.0607,-3.021745,40.16086,1.363289
1679541233.2405632,4500,0.41,50000.0,20.050243,3.16809,42.227409,1.25455,20.05909,-3.132892,40.16147,1.404358
1679541235.8016124,6000,0.41,50000.0,19.849581,2.906192,41.005962,1.233714,19.96631,-3.506806,40.16613,1.565174
1679541238.2606728,7500,0.42,50000.0,20.020515,3.228596,42.335339,1.272866,19.92942,-3.507311,40.18502,1.565239
1679541240.8219495,9000,0.42,50000.0,19.777121,2.957423,40.958576,1.178535,19.91787,-3.623434,40.19097,1.615761
1679541243.3806832,10500,0.43,50000.0,19.886742,3.238313,42.093155,1.251344,19.91461,-3.654251,40.19247,1.628756
1679541245.9409456,12000,0.43,50000.0,19.863516,3.018371,41.706188,1.718652,19.90592,-3.744381,40.19674,1.666667
1679541248.5009608,13500,0.44,50000.0,19.765972,3.551443,41.474533,1.244246,19.9057,-4.153116,40.19695,1.839153
1679541250.9423645,15000,0.44,50000.0,19.886742,3.759018,41.951004,1.687055,19.86527,-4.330624,40.21727,1.916257
1679541253.400834,16500,0.45,50000.0,19.683292,3.569992,41.066505,1.476641,19.8477,-4.340781,40.22641,1.919871
1679541255.8415515,18000,0.45,50000.0,19.90625,3.820849,42.232674,1.614933,19.84452,-4.364295,40.22792,1.930761
1679541258.2810378,19500,0.46,50000.0,19.741817,3.574408,40.832222,1.604859,19.83833,-4.424199,40.23078,1.955476
1679541260.7418392,21000,0.46,50000.0,19.882095,3.895046,42.374825,1.603027,19.80043,-4.808101,40.24971,2.113968
1679541263.1805975,22500,0.47,50000.0,19.761328,3.60709,41.000698,1.706059,19.80018,-5.102774,40.24978,2.23923
1679541265.6206431,24000,0.47,50000.0,19.802202,4.308872,41.748306,1.740403,19.77102,-5.144108,40.2644,2.257007
1679541268.0608106,25500,0.48,50000.0,19.761328,3.740911,41.074406,1.907086,19.76684,-5.143517,40.26655,2.256725
1679541270.5018015,27000,0.48,50000.0,19.53837,4.209059,40.848015,1.754369,19.76286,-5.181973,40.26852,2.272406
1679541272.9412155,28500,0.49,50000.0,19.773403,4.398527,41.306057,2.096894,19.73531,-5.456868,40.28175,2.381683
1679541275.381082,30000,0.49,50000.0,19.542086,4.171078,40.766411,1.806801,19.70991,-5.932562,40.29433,2.580306
1679541277.8431478,31500,0.5,50000.0,19.80406,4.50629,41.674599,2.006225,19.68812,-6.002958,40.30511,2.61006
1679541280.280968,33000,0.5,50000.0,19.558807,4.265149,41.03492,1.844122,19.68111,-6.012863,40.30856,2.613959
1679541282.7211494,34500,0.51,50000.0,19.727884,4.606544,42.374825,1.814128,19.67892,-6.020664,40.30956,2.617305
1679541285.1611664,36000,0.51,50000.0,19.551376,4.675442,40.82169,2.113837,19.41919,-6.073463,40.30816,2.603622
1679541287.601104,37500,0.52,50000.0,19.60247,5.097659,41.219189,1.70148,19.34763,-6.660949,40.3354,2.834776
1679541290.0612948,39000,0.52,50000.0,19.570885,5.031853,40.784836,2.303187,19.34709,-6.878739,40.33561,2.922985
1679541292.5012372,40500,0.53,50000.0,19.456619,5.196589,40.869076,2.04263,19.31997,-6.89723,40.34597,2.930581
1679541294.94113,42000,0.53,50000.0,19.712091,5.371924,41.848339,2.336386,19.31782,-6.895688,40.34662,2.929919
1679541297.3811848,43500,0.54,50000.0,19.402737,5.057469,40.71376,2.096436,19.31321,-6.932717,40.34816,2.944242
1679541299.821119,45000,0.54,50000.0,19.702801,5.420063,42.906574,2.256479,19.26247,-7.34254,40.36694,3.100953
1679541302.2612095,46500,0.55,50000.0,19.394377,5.001379,41.12442,2.134672,19.21596,-7.860353,40.38464,3.304185
1679541304.7015417,48000,0.55,50000.0,19.642416,5.75086,42.114216,2.254876,19.19817,-7.906497,40.39116,3.322559
1679541307.1414645,49500,0.56,50000.0,19.566238,4.968256,40.948048,2.541992,19.19173,-7.901803,40.39339,3.319022
1679541309.5813994,51000,0.56,50000.0,19.535583,6.183235,41.40609,2.342568,19.1918,-7.899652,40.39303,3.31858
1679541312.0444858,52500,0.57,50000.0,19.560665,5.969918,41.069141,2.677536,19.18905,-7.923014,40.39389,3.327407
1679541314.4812427,54000,0.57,50000.0,19.452902,6.224308,40.929623,2.471014,18.92788,-9.096851,40.44711,3.768111
1679541316.9217489,55500,0.58,50000.0,19.58482,6.205759,41.335014,2.723099,18.92771,-9.09778,40.44707,3.598319
1679541319.3613427,57000,0.58,50000.0,19.311695,5.878938,40.724293,2.519325,18.06686,-9.098865,40.42657,3.432332
1679541321.8024874,58500,0.59,50000.0,19.594109,6.27819,41.600891,2.698601,17.22741,-9.09822,40.40668,3.432785
1679541324.2412057,60000,0.59,50000.0,19.085951,5.840073,40.887501,2.559622,16.41651,-9.099358,40.38719,3.272414
1679541326.681994,61500,0.6,50000.0,19.332134,6.359895,42.177391,2.609306,15.63155,-9.100324,40.36851,3.116905
1679541329.121822,63000,0.6,50000.0,19.046934,6.176168,40.863811,2.93214,14.88699,-9.101383,40.35106,2.965031
1679541331.5620327,64500,0.61,50000.0,19.020922,6.811261,40.937519,2.520927,14.86666,-9.102111,40.35038,2.817014
1679541334.00189,66000,0.61,50000.0,19.092455,6.958772,40.840118,3.03334,14.12389,-9.10779,40.33253,2.691846
1679541336.4458776,67500,0.62,50000.0,18.89365,6.901799,40.747982,2.767288,13.40549,-9.103066,40.31558,2.673837
1679541338.8812304,69000,0.62,50000.0,19.126827,7.095242,40.937519,3.043185,12.7073,-9.104068,40.29856,2.534023
1679541341.3218658,70500,0.63,50000.0,18.840698,6.816561,40.600567,2.80438,12.02553,-9.105422,40.28232,2.397309
1679541343.7613645,72000,0.63,50000.0,19.175135,7.264394,42.345867,2.8836,12.02528,-9.106442,40.28225,2.263781
1679541346.2019033,73500,0.64,50000.0,18.86764,6.775487,40.850647,2.83071,11.36305,-9.10726,40.2663,2.13324
1679541349.2223713,75000,0.64,50000.0,19.071087,7.760808,41.134949,2.78011,10.663889,-9.100212,40.25078,2.133541
1679541351.661668,76500,0.65,50000.0,18.846272,6.953031,40.784836,3.098823,10.846892,-9.101686,40.26103,2.22003
1679541354.101171,78000,0.65,50000.0,18.927094,8.171102,40.603199,3.10821,10.864329,-9.103383,40.26164,2.24562
1679541356.5413668,79500,0.66,50000.0,19.016277,8.121636,40.82169,3.4141,11.030935,-9.098623,40.26397,2.189494
1679541358.9815283,81000,0.66,50000.0,18.842556,8.164476,40.663746,3.130419,11.030206,-9.097683,40.26368,2.247608
1679541361.4614286,82500,0.67,50000.0,19.036715,8.243091,41.174438,3.414558,10.969405,-9.100324,40.26311,2.225425
1679541363.9018493,84000,0.67,50000.0,18.759876,7.9781,40.608463,3.154918,10.845061,-9.093781,40.26032,2.132556
1679541366.9415317,85500,0.68,50000.0,19.041361,8.255898,41.127052,3.364645,0.532864,-9.115248,38.81406,0.000724
1679541369.381584,87000,0.68,50000.0,18.708782,7.874313,40.447887,3.191093,0.5324994,-9.118339,29.63498,0.000681
1679541371.8422112,88500,0.69,50000.0,19.021851,8.25104,40.355751,3.29985,0.5318068,-9.118991,24.22272,0.000605
1679541374.3016124,90000,0.69,50000.0,18.588942,8.892757,40.82169,3.90064,0.5314189,-9.119128,19.88269,0.000514
1679541376.7615948,91500,0.7,50000.0,18.679054,9.513276,40.382076,3.52423,0.5311481,-9.11915,16.39055,0.000482
1679541379.2014148,93000,0.7,50000.0,17.797441,9.188663,40.626892,3.735102,0.5309913,-9.119128,13.5561,0.000511
1679541381.6417863,94500,0.71,50000.0,17.759354,9.5517,40.36628,3.399218,0.5308847,-9.119042,11.25869,0.000514
1679541384.58196,96000,0.71,50000.0,16.981789,9.374156,40.332058,3.545753,0.5307989,-9.118941,8.976361,0.006332
1679541387.022127,97500,0.72,50000.0,16.682653,8.757171,40.711128,3.39006,0.5307459,-9.118873,7.525819,0.007629
1679541389.4616156,99000,0.72,50000.0,16.193077,9.456303,40.203072,3.314274,0.530738,-9.118909,6.283811,0.007057
